sentiment,text
positive,you do love to see it 
neutral,cope muthafucka 
neutral,told y all 
positive,georgia trump lead has been cut down from k to just k 
negative, yeah leave please
negative,i hate y all 
negative,if joe biden wins pennsylvania and loses arizona which is still leaning biden he will still win the presidency he has multiple paths to victory trump doesn t 
negative,pennsylvania biden needs just of the outstanding mail in ballots to win state which isn t hard because he s been winning them by a margin so far the blue wall is coming back together 
negative,not sean hannity having a breakdown 
negative,georgia in trump biden this will be very close friends
negative,make him say it 
positive,rt say it
negative, say it
neutral,nevada has gone to bed y all focus on pennsylvania and georgia 
positive,assemble report this fake news this dude has been coming after ilhan omar too 
positive,full georgia results after midnight 
negative,keep counting those votes pennsylvania looking good for biden 
positive,steve kornacki is thirsty for ratings chile 
negative,stop panicking over arizona there s quite a bit of outstanding vote in safe dem counties which didn t come through in the last dump 
positive,how red are your knees sir 
positive,cnn biden needs to win only of the outstanding vote in arizona to win 
positive,clap if you care 
neutral,redneck barbie tomi lahren unable to cope 
positive, that is just the maricopa county figure 
negative,secretary of state of arizona will have a near complete count by tomorrow or friday
positive,secretary of state of arizona outstanding votes in solid democratic pima county
positive,no substantial shrinking in arizona from the first dump of votes
positive, happened
neutral,maricopa county az joe biden donald trump 
neutral,we are hearing about all these gains for donald trump among demographic groups across the board why aren t they showing up in the results exit polls are useless this year throw them in the garbage 
positive,oh no not gen zs in the comments not getting the reference 
positive,biden 
positive,philadelphia protestors marching chanting fuck donald trump 
negative,this much we know this was a referendum on donald trump as all elections in which incumbent presidents run are and at least of the electorate voted against him 
positive,you don t live here so why do you care sis 
positive,cnn the president has no plan b he needs to start sweeping 
negative,georgia trump lead has shrunk from at midnight to 
negative,but they can win 
negative,georgia at least votes to still come in trump lead has shrunk to just 
neutral,congress at this hour senate republicans democrats needed for a majority house of representatives democrats republicans needed for a majority
negative,pennsylvania reporting trump biden 
neutral,georgia in trump biden 
positive,trump campaign losing georgia will be the end of the race
negative,we love you queen thanks for splitting the vote 
positive,pennsylvania biden has shrunk trump s lead from k to just k with a lot of vote to still be counted 
positive,georgia at least mail in ballots to still be counted trump leads by just good news for biden in georgia
positive,biden did that 
