sentiment,text
positive, good night everyone 
negative,maricopa dump now 
positive,clap if you care 
neutral, we know that but wsj seems new
neutral, when did they call it 
negative, this is meaningless 
negative,this is meaningless 
neutral,arizona you have minutes for the dump or i m going to bed
neutral,we will not likely know the arizona winner tonight there will just be a dump from the phoenix area the secretary of state said earlier yesterday the state will have a full account later today or tomorrow 
positive,calm down y all pennsylvania is looking very good for biden the outstanding vote in the hundreds of thousands is for biden biden will be ahead when all is said and done there they are just being lazy with the count 
neutral,the vote counting continues sir 
neutral,ok i think we need to stay up until the arizona dump and then go to bed georgia won t be clearer until the morning 
neutral,stop 
negative,because they re trying not to get shot by trump supporters 
neutral,georgia will be very tight it s not over yet 
neutral,we will receive the continuously delayed arizona dump in the next half hour
neutral,there are several other solid democratic counties in georgia who are yet to report a couple thousand absentee ballots 
neutral,breaking absentee ballots yet to process in fulton county ga
negative,retweet him please he s combatting fake news being spread around 
positive,america is speaking 
neutral,he s doing it 
negative,philadelphia are you just never going to count the remaining our expectations were low but 
neutral,update trump margin now down to just k 
neutral,georgia k trump margin hours ago now down to just k are there enough outstanding ballots to wipe out the rest of the lead mixed messages 
negative,this was probably just a glitch report tweet for spreading fake news 
positive,he s unseasoned but it s the energy with which he s working the magic wall 
negative,this is not the time y all 
neutral,maricopa county next dump coming in 
neutral,and you re a trump supporter 
neutral,only watching cnn for him 
neutral,georgia in trump biden narrowing continues
negative,democrats really pass out with one negative report trump is in the hole not biden biden has multiple paths to victory trump needs to run the table go get a drink 
negative,this is fake news please report this doesn t include a lot of absentee ballots 
positive,arizona becomes irrelevant if biden wins pennsylvania which is looking like a real possibility trump campaign desperate 
neutral,count your damn votes it s not hard 
negative,if the trump campaign was so confident about arizona they wouldn t have let their brown shirts lose on the vote tallying center 
neutral,vermont california and massachusetts currently tying for the bluest states in the country 
neutral,wyoming remains the reddest state in the country in trump biden 
neutral,pennsylvania in trump biden lots more votes to be counted especially from philly
neutral,north carolina in trump biden north carolina looks pretty baked
neutral,georgia in trump biden 
positive,the eye candy working the magic wall on cnn is keeping me up not going to lie 
negative,cancelled
neutral,georgia we will likely not know the state of the race until tomorrow morning when the secretary of state will present a clearer picture 
negative,count your damn ballots pennsylvania it s really not that hard should we come do it for you 
negative,fake account please report wtf 
neutral,atlanta georgia voting staff to stay up all night to count votes 
negative,should we just call them terrorists at this point 
neutral,maricopa county az armed pro trump crowd has surrounded vote count station
neutral,has he let him know 
negative, not this one noooo 
neutral,the days and nights are merging into one another at this point electionweek
positive,clap if you care 
negative,she s so dumb i m sorry 
neutral,georgia trump lead has collapsed ten fold today from k to just k 
neutral,the dump from arizona is coming soon 
negative,after years of abusing and harassing white men for electing trump they are the only gender race group that has swung to biden white boys just exhausted of being accused of all of america s woes 
positive,the first indication we got about pa flipping was the early completion of count in northampton county my favorite county there they have voted for all pa winners since and voted for biden this year 
negative,this is dangerous report and ratio wtf 
negative,cnn ana navarro warns pundits to not paint the latino vote with a broad brush says latinos outside florida and texas voted in record numbers for biden 
neutral,maricopa county az sherriff s office ready to crackdown on pro trump protestors outside vote counting station 
neutral,what did we say 
neutral,exit polling has been so random this year we have been taught to believe young black voters are less loyal to the democratic party than their older counterparts 
positive,georgia biden needs of the outstanding votes in georgia to win biden has been winning of the same type of ballots today georgia is anyone s game 
neutral,erie county pa mail in ballots breaking for biden 
neutral,so which network will call pennsylvania for biden first 
positive,pennsylvania mail in ballots yet to be counted overwhelmingly democratic biden will win pa by a comfortable margin and when he does it s over 
neutral,maricopa county az large number of trump supporters protesting outside vote counting station 
neutral,maricopa county az last ballot dump of the day in an hour 
neutral,congress at this hour senate democrats republicans needed for a majority house of representatives democratic republicans needed for a majority
negative,that s how a broken electoral system works sis wanna reform it 
neutral,so many uno reverse cards in play today like this one 
neutral,find a new job charlie give him suggestions on his tweet 
neutral,protests spreading nationwide 
positive,you know what means trump campaign nervous about both nevada and arizona they ve been lying about the arizona optimism 
neutral,breaking trump campaign considering legal action in arizona and nevada
neutral,just to explain the scale of the democratic lean of these pennsylvania mail in votes trump started last night with a k lead it s down to k there are still a lot of them in philadelphia 
positive, statewide in pennsylvania only in philadelphia good sign for biden 
positive, yes it s possible
neutral,races we are watching tonight pennsylvania in trump biden georgia in trump biden 
negative,you don t even go here 
neutral,we be playing the uno reverse card 
neutral,manifest 
neutral,just a swing in wi mi pa from and a completely different mood in the country from when hillary lost 
positive,national popular vote so far biden million trump million jorgensen million hawkins million other million 
negative,jake can t do math don t listen to him 
negative,you guys stop the copy paste we are in crunch time
neutral,were election nights fun back in and west coast closing and boom obama won where s the terror over every vote dump 
neutral,umm we are staying up 
neutral,did we stutter 
neutral,steve kornacki has sent democratic twitter panicking over a couple thousand votes in az calm down y all lots of dem votes outstanding 
positive,biden is headed for a bigger win in pa than trump s in all we will say 
neutral,pennsylvania in trump biden trump lead down to k now with a lot of dem mail in votes to be counted
neutral,when was it not election night in america 
positive,rt pennsylvania biden needs just of the outstanding mail in ballots to win state which isn t hard because he s be 
neutral,pray for them 
neutral,georgia in trump biden 
positive,rt breaking joe biden has surpassed barack obama s popular vote total breaking the record for most votes ever recei 
neutral,white house trump and aides nervous about georgia results
negative,pennsylvania trump lead has collapsed from k at midnight to k with of the vote outstanding pennsylvania will not be close and it is leaning biden 
neutral,america showed up and you don t like it harlan cope 
positive,national popular vote at the moment biden trump jorgensen hawkins 
positive,you do love to see it 
neutral,cope muthafucka 
neutral,told y all 
neutral,georgia trump lead has been cut down from k to just k 
negative, yeah leave please
negative,i hate y all 
positive,if joe biden wins pennsylvania and loses arizona which is still leaning biden he will still win the presidency he has multiple paths to victory trump doesn t 
negative,pennsylvania biden needs just of the outstanding mail in ballots to win state which isn t hard because he s been winning them by a margin so far the blue wall is coming back together 
negative,not sean hannity having a breakdown 
positive,georgia in trump biden this will be very close friends
neutral,make him say it 
neutral,rt say it
neutral, say it
neutral,nevada has gone to bed y all focus on pennsylvania and georgia 
negative,assemble report this fake news this dude has been coming after ilhan omar too 
neutral,full georgia results after midnight 
positive,keep counting those votes pennsylvania looking good for biden 
neutral,steve kornacki is thirsty for ratings chile 
negative,stop panicking over arizona there s quite a bit of outstanding vote in safe dem counties which didn t come through in the last dump 
neutral,how red are your knees sir 
positive,cnn biden needs to win only of the outstanding vote in arizona to win 
positive,clap if you care 
neutral,redneck barbie tomi lahren unable to cope 
neutral, that is just the maricopa county figure 
neutral,secretary of state of arizona will have a near complete count by tomorrow or friday
neutral,secretary of state of arizona outstanding votes in solid democratic pima county
negative,no substantial shrinking in arizona from the first dump of votes
neutral, happened
neutral,maricopa county az joe biden donald trump 
negative,we are hearing about all these gains for donald trump among demographic groups across the board why aren t they showing up in the results exit polls are useless this year throw them in the garbage 
negative,oh no not gen zs in the comments not getting the reference 
neutral,biden 
negative,philadelphia protestors marching chanting fuck donald trump 
negative,this much we know this was a referendum on donald trump as all elections in which incumbent presidents run are and at least of the electorate voted against him 
negative,you don t live here so why do you care sis 
neutral,cnn the president has no plan b he needs to start sweeping 
neutral,georgia trump lead has shrunk from at midnight to 
